
PUNCH_LEFT | Vel:0.079 | Z-Rel:-0.461 | Z-Move:0.022 | Y-Move:0.076 | Z-Dom:False | Ext:False
PUNCH_RIGHT | Vel:0.022 | Z-Rel:-0.047 | Z-Move:0.022 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.036 | Z-Rel:-0.476 | Z-Move:0.027 | Y-Move:0.023 | Z-Dom:False | Ext:False
PUNCH_RIGHT | Vel:0.019 | Z-Rel:-0.038 | Z-Move:0.019 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.043 | Z-Rel:-0.474 | Z-Move:0.022 | Y-Move:0.002 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.029 | Z-Rel:-0.473 | Z-Move:0.023 | Y-Move:0.015 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.030 | Z-Rel:-0.468 | Z-Move:0.026 | Y-Move:0.014 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.025 | Z-Rel:-0.459 | Z-Move:0.011 | Y-Move:0.021 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.040 | Z-Rel:-0.431 | Z-Move:0.040 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.031 | Z-Rel:-0.011 | Z-Move:0.031 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.018 | Z-Rel:-0.053 | Z-Move:0.017 | Y-Move:0.004 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.080 | Z-Rel:0.056 | Z-Move:0.019 | Y-Move:0.078 | Z-Dom:False | Ext:False
PUNCH_LEFT | Vel:0.036 | Z-Rel:-0.008 | Z-Move:0.030 | Y-Move:0.020 | Z-Dom:False | Ext:False
PUNCH_RIGHT | Vel:0.288 | Z-Rel:-0.212 | Z-Move:0.274 | Y-Move:0.090 | Z-Dom:True | Ext:False
